dd0 Cell Density,dd0-dd1 Cell Density Gradient,dd1 Cell Density,dd1-dd2 Cell Density Gradient,dd2 Cell Density,dd2-dd3 Cell Density Gradient,dd3 Cell Density ,dd3-dd5 Cell Density Gradient,dd5 Cell Density,dd5-dd7 Cell Density Gradient,dd7 Cell Density,dd0 Aggregate Size,dd0-dd1 Aggregate Size Gradient,dd1 Aggregate Size ,dd1-dd2 Aggregate Size Gradient,dd2 Aggregate Size ,dd2-dd3 Aggregate Size Gradient,dd3 Aggregate Size ,dd3-dd5 Aggregate Size Gradient,dd5 Aggregate Size ,dd7 Aggregate Size ,dd5-dd7 Aggregate Size Gradient,Preculture Time [h],Start Preculture Perfusion [h after inoc] d1-d2,Presence of  IWP2 [h],Average DO concentration d0,Average DO concentration d1,Average DO concentration dd0,Average DO concentration dd1,Average DO concentration dd2,Average DO concentration dd3,Average DO concentration dd4,Average DO concentration dd5,Average DO concentration dd6,Average DO concentration dd7,Average DO concentration gradient d0,Average DO concentration gradient d1,Average DO concentration gradient dd0,Average DO concentration gradient dd1,Average DO concentration gradient dd2,Average DO concentration gradient dd3,Average DO concentration gradient dd4,Average DO concentration gradient dd5,Average DO concentration gradient dd6,Average DO concentration gradient dd7,DO concentration/cell count dd0,DO concentration/cell count dd1,DO concentration/cell count dd2,DO concentration/cell count dd3,DO concentration/cell count dd5,DO concentration/cell count dd7,DO gradient/cell count dd0,DO gradient/cell count dd1,DO gradient/cell count dd2,DO gradient/cell count dd3,DO gradient/cell count dd5,DO gradient/cell count dd7,dd0 Average of 2nd derivative DO,dd1 Average of 2nd derivative DO,dd2 Average of 2nd derivative DO,dd3 Average of 2nd derivative DO,dd5 Average of 2nd derivative DO,dd7 Average of 2nd derivative DO,dd0 DO 2nd derivative/cell count,dd1 DO 2nd derivative/cell count,dd2 DO 2nd derivative/cell count,dd3 DO 2nd derivative/cell count,dd5 DO 2nd derivative/cell count,dd7 DO 2nd derivative/cell count,Overall Average pH,Overall density gradient,Overall aggregate size gradient,d0 Average pH,d0 Average pH Gradient,d1 Average pH,d1 Average pH Gradient,dd0 Average pH,dd0 Average pH Gradient,dd1 Average pH,dd1 Average pH Gradient,dd2 Average pH,dd2 Average pH Gradient,dd3 Average pH,dd3 Average pH Gradient,dd4 Average pH,dd4 Average pH Gradient,dd5 Average pH,dd5 Average pH Gradient,dd6 Average pH,dd6 Average pH Gradient,dd7 Average pH,dd7 Average pH Gradient,dd0 Lactate Concentration,dd1 Lactate Concentration,dd3 Lactate Concentration,dd5 Lactate Concentration,dd7 Lactate Concentration,dd0 Glucose Concentration,dd1 Glucose Concentration,dd3 Glucose Concentration,dd5 Glucose Concentration,dd7 Glucose Concentration
0.65,0.376923077,0.895,0.184357542,1.06,1.301886792,2.44,-0.131147541,2.12,0.316037736,2.79,118.1951747,0.201911142,142.0600973,0.093150465,155.2930615,0.086646266,168.7486253,0.046590444,176.6106987,233.156044,0.320169422,48,25,48,85.71523288,63.24320588,66.71009524,51.63123699,28.00881818,60.06711696,20.39292105,13.62351111,8.5168,11.41755,-5.017134631,-0.973529264,-13.02282211,-16.64070296,3.343417771,-18.3043099,0.025333057,-0.835719833,-0.297143208,0.602861185,102.6309158,52.81967979,16.00503896,26.34522674,5.549291695,4.092311828,-20.03511094,-25.60108148,5.143719648,-28.16047677,-0.340415411,0.216079278,-4.596089161,-3.807725784,51.79999163,-40.89226988,-4.369020114,2.032590104,-7.070906401,-5.858039668,79.69229481,-62.91118443,-6.721569406,3.127061699,6.969245966,3.292307692,0.972635894,7.128310345,-0.021810791,6.9595,-0.002875,6.876628571,-0.068757003,7.039117647,-0.063414365,6.573071429,-0.015435714,7.125433333,-0.035415656,7.0354,0.00236,7.01704,-0.003,6.971,-0.001567273,6.966958333,0.000833333,13.1,13.2,16.1,10,11.6,11.3,5.7,0.3,4.7,2.3
0.43,0.651162791,0.71,0.887323944,1.34,1.074626866,2.78,-0.532374101,1.3,0.4,1.82,96.34711,0.478343564,142.43413,0.192729552,169.885396,0.384388594,235.1874045,-0.129821075,204.6551228,155.0354536,-0.242455056,48,25,48,89.14285714,80.34778571,78.97483942,71.20963964,62.23131325,74.99361789,73.62188889,60.80692105,80.19058209,68.84264423,-4.336988756,-8.080484793,-17.8607415,-9.30349686,-4.593178777,-19.92342562,-20.50907676,-5.422830627,-30.13367821,-15.37375725,183.6624172,69.47281916,30.20937537,36.7615774,38.97879555,37.8256287,-41.53660814,-21.63603921,-10.68181111,-46.33354796,-3.476173479,-8.447119366,82.5217635,1.590650742,-104.2754818,31.46271633,-17.94900987,12.6817645,191.9110779,3.699187772,-242.5011205,73.16910774,-41.74188342,29.49247557,6.998924587,3.23255814,0.609134447,7.126193548,-0.044053662,6.307214286,-0.001954615,7.193866667,-0.015359992,7.195935484,-0.017241241,6.896666667,0.014099081,7.286653846,-0.005741441,6.728393939,-0.020575497,7.101678571,-0.011983598,7.005,-0.028174072,7.147642857,-0.013518637,13,13.4,16.5,12.6,14.6,11.5,6.2,0.6,2.7,0.7
0.68,0.470588235,1,0.79,1.79,0.446927374,2.59,-0.254826255,1.93,0,1.93,99.41592174,0.565532722,155.6388785,0.004030078,156.2661153,0.126859675,176.089984,0.181257782,208.007664,204.4359937,-0.017170859,48,25,48,97.7672875,74.12618841,80.23900704,70.49652907,42.25569231,73.66026923,28.65960377,22.21535,21.87621951,25.74475,-7.093491506,-1.129342665,-12.51638701,-15.65728215,1.636482259,-16.84111417,-0.372757304,-0.398241812,0.580066385,0.000457841,117.9985398,50.53514629,19.29483667,32.59303948,11.51054404,13.3392487,-18.40645148,-23.02541492,2.406591557,-24.76634436,-0.206342908,0.000237223,48.97729465,-4.880352507,-2.50253596,-40.8545119,-2.97924769,-0.119373186,72.02543332,-7.17698898,-3.680199941,-60.08016455,-4.381246602,-0.175548803,6.961068384,1.838235294,1.056370751,6.99916129,-0.013501745,6.9676,-0.002700762,7.069447368,-0.077027183,6.686285714,-0.02616267,6.815392857,-0.005486417,6.700451613,-0.010756061,7.061375,0.000333287,7.06525,0.00045853,7.09836,0.002357614,7.14736,0.00152138,12,12.2,16,11.7,10.4,12.4,5.9,1,3.8,3.4
0.78,0.166666667,0.91,0.43956044,1.31,0.538167939,2.015,-0.136476427,1.74,0.172413793,2.04,115.5035873,0.21531524,140.37327,0.086154688,152.4670853,0.036795248,158.0771496,0.058739291,167.3624893,202.2504573,0.208457511,48,25,48,81.65019672,62.34353994,63.39714428,47.07061836,49.51319303,56.2089225,49.62889189,48.35557545,28.58268421,30.45991367,-1.350149933,-0.614488872,-4.615646951,-6.38953193,-0.42795887,-5.555962439,-0.832689107,-3.802325273,0.020761486,-6.640204196,81.2783901,42.40596248,29.78237175,29.93817443,25.58496055,14.93133023,-5.917496092,-8.191707603,-0.548665218,-7.123028768,-2.011812314,-3.255002057,-9.958576654,-5.393976554,0.119490977,-9.441916392,-0.342625497,-5.845485319,-12.76740597,-6.915354557,0.15319356,-12.10502102,-0.439263457,-7.494211948,7.034942325,1.615384615,0.751031825,7.342793872,-0.016916284,6.959352778,-0.001915284,7.107078431,-0.014712333,6.966362881,-0.020067183,6.788238227,-0.00606493,7.085520891,-0.008810781,6.953811111,-0.00228769,7.148141667,-0.010956086,6.908702778,-0.005623617,7.089420613,-0.017252453,13.6,12.1,16.5,10.1,8.9,11.6,4.8,0.3,4.7,4.1
0.575,0.295652174,0.745,1.456375839,1.83,0.256830601,2.3,-0.639130435,0.83,0.445783133,1.2,105.7786707,0.172224916,123.9963933,0.170517099,145.1398987,0.023702304,148.5800487,-0.056073832,140.248596,143.13087,0.020551179,48,25,48,102.6132364,76.28040379,91.81144472,79.83587711,78.34089737,99.81676617,113.9059725,110.9396482,105.7760973,107.7938,-0.564854372,-1.835248484,-2.548137495,-3.314019271,1.260202317,0.316713725,0.480584167,0.012531417,-0.277388186,-0.61944535,159.6720778,62.00844824,37.93748057,63.78068126,109.3001461,89.82816667,-4.431543469,-5.763511775,2.191656203,0.550806478,0.012346224,-0.516204459,-30.13722379,26.72446736,13.23926821,8.308125406,38.46679178,-18.58230076,-52.41256311,46.47733454,23.02481428,14.44891375,66.89876832,-32.3170448,7.180312539,1.086956522,0.353116551,7.191490251,-0.024116902,6.988172222,-0.001081729,7.166661111,-0.023842517,7.219875346,-0.024052061,6.953258333,-0.006456368,7.253473684,0.012959831,7.199777778,-0.003873926,7.3508,-0.021620137,7.244361111,-0.004539112,7.235255556,-0.005793719,14,12.3,17.1,11.6,11.8,10.6,5.7,1.3,4.9,5.3
0.71,-0.021126761,0.695,1.413669065,1.6775,0.335320417,2.24,-0.78125,0.49,0.744897959,0.855,115.3715773,0.171699175,135.180782,0.149705923,155.4181457,0.214267355,188.7191807,-0.139398408,162.4120273,123.086972,-0.242131423,48,25,48,80.2313125,56.14698615,72.14956281,57.22333671,37.13813333,69.53106045,67.56144444,68.10465289,66.85443611,68.9549116,-3.239285853,-0.961221624,-4.406611808,-4.91917864,0.240531114,-3.641335089,-0.139873491,0.074678768,-0.069102791,-0.024433421,101.6191026,48.23885076,18.96011912,50.93850583,101.2708593,80.64901942,-6.206495505,-6.928420619,0.338776217,-5.12864097,0.111046495,-0.028577101,0.910801634,-11.4376708,0.040928608,2.158597274,5.64074811,1.572922747,1.282819203,-16.10939549,0.057645927,3.040277851,7.944715648,2.21538415,7.223343053,0.204225352,0.06687431,7.163520891,-0.019312104,6.928030556,-0.002207963,7.240844444,-0.008441771,7.162630556,-0.013995988,6.977983333,-0.005998321,7.346734637,-0.00561184,7.332708333,0.00066651,7.342222222,0.000749931,7.365436111,0.00070804,7.373319444,0.000292697,14.8,11.1,16.2,5.9,5.9,10.2,6.2,1.9,8.1,8.7
0.535,0.303738318,0.6975,1.709677419,1.89,0.17989418,2.23,-0.591928251,0.91,0.769230769,1.61,104.50255,0.150396515,120.2193693,0.221247597,146.8176159,0.059959441,155.620718,0.050850646,163.534132,159.0310387,-0.027536107,48,25,48,85.56555612,69.62471467,75.49639709,53.43622837,39.0241708,61.07860811,69.60569761,80.89201651,67.86441783,92.44169431,-3.64815213,-2.00407393,-6.941646344,-6.766007803,0.263902794,-8.022314653,0.769825297,-7.725738923,0.083412973,-7.738517522,141.1147609,41.30336492,18.94377223,38.90357204,64.2000131,57.41720144,-12.97503989,-12.64674356,0.49327625,-14.99498066,-6.131538828,-4.806532622,2.208687191,1.520939684,6.704877868,6.357411808,-16.46875339,-28.55189006,4.128387272,2.842877915,12.532482,11.88301272,-30.78271662,-53.3680188,7.18360653,2.009345794,0.521790987,7.148796657,-0.016875398,6.959790055,0.01401617,7.22472067,-0.004649587,7.194155556,-0.016745633,6.895855956,-0.004694216,7.303409471,-0.004845402,7.181571031,-0.00421856,7.329562327,0.003987977,7.2583,-0.004414926,7.339903581,0.011826002,14.4,11.6,17,13.3,11.7,11.1,5.3,0.8,4.2,4.9
0.56,0.625,0.91,1.184065934,1.9875,0.122012579,2.23,-0.282511211,1.6,0.79375,2.87,97.24919867,0.204072372,117.0950733,0.090398499,127.6802922,0.110440843,141.7814113,-0.002534705,141.4220373,196.4052347,0.388788044,48,25,48,82.79492188,57.79683056,64.07557761,38.28305679,33.00028611,49.88185086,24.1826547,15.48054201,13.47286389,19.4955252,-3.315869423,-1.252067686,-4.399168503,-5.755991045,0.747644609,-5.636788469,-0.171326102,-0.862532191,-0.052082638,-1.530122946,114.4206743,26.42488821,15.64921689,26.04796389,6.926417005,6.792865923,-7.855658042,-10.27855544,1.335079659,-10.06569369,-0.385920443,-0.533143884,2.839375732,-5.638753049,-0.123669883,1.953931599,-1.175791445,-4.561763425,5.070313807,-10.06920187,-0.220839078,3.489163569,-2.099627581,-8.146006115,7.072317289,4.125,1.019607743,7.139162011,-0.014954088,6.974008333,-0.000916634,7.173091667,-0.022314026,7.14224234,-0.026524758,6.918847222,-0.003165949,7.213619444,-0.013994716,7.112674095,0.000459125,7.051691667,-0.004748405,6.997063889,-0.000666247,7.000772222,0.001286681,14.5,13.2,17.6,12.1,14.9,11,4.7,0.6,4.7,2.2
0.73,0.684931507,1.23,0.430894309,1.76,0.153409091,2.03,0.256157635,2.55,-0.164705882,2.13,126.262608,0.217994885,153.7872107,0.089083858,167.4871687,0.053027975,176.368674,0.232867605,217.4392247,256.83762,0.181192678,48,25,48,71.9294817,44.33612058,40.19673486,25.86232129,18.84410015,39.60641097,25.62216407,15.21722698,23.74196131,27.74515165,-7.951396748,-3.632798584,-7.424659118,-6.723601798,-1.799890647,-4.350136823,-4.828554885,-0.879756976,-4.452938811,-1.326586299,55.06402036,17.29921156,9.944116176,17.29537597,6.503088451,13.02589279,-10.17076592,-9.210413422,-2.465603626,-5.959091538,-0.37596452,-0.622810469,-92.2042958,-12.62839613,-4.64585949,-7.443980529,-9.56576941,4.040723365,-126.3072545,-17.29917279,-6.364191082,-10.1972336,-13.10379371,5.535237487,7.011381498,1.917808219,1.034154245,7.174573816,-0.015998912,6.864639889,-0.005940097,7.177980556,-0.01762025,7.032615599,-0.022473416,6.829662953,-0.002047256,7.140727778,-0.010454739,6.96986351,-0.007602789,6.971536111,-0.0156207,6.78668144,-0.006506413,7.165533333,-0.007415363,14.5,14.2,16.4,15.3,16.7,9,3.9,0,2.3,0
0.63,-0.206349206,0.5,0.02,0.51,0.882352941,0.96,-0.1875,0.78,0.115384615,0.87,126.049922,0.489067758,187.6968748,-0.209928142,148.2940187,0.665920166,247.0459962,0.204823786,297.6468925,192.875735,-0.351998157,48,25,48,72.1864475,42.59703022,54.71535023,59.25531368,53.5385097,72.2776409,68.81413716,55.45839554,52.14263145,39.52425067,-4.39980878,-1.180021128,-5.278452862,-5.890861769,-0.100040762,-4.850835602,-4.791220997,-1.259111944,-6.379033541,-1.623985904,86.84976227,117.3372548,72.84150979,83.07774816,67.22229763,45.43017319,-8.378496606,-9.350574236,-0.15879486,-7.699739051,-1.526196296,-1.866650464,3.91599967,1.711217147,4.604269396,2.672814506,0.432148582,-4.337574772,6.215872492,2.716217694,7.30836412,4.242562708,0.685950131,-6.885039321,7.09756661,0.380952381,0.530153545,7.15337883,-0.013951553,6.941119444,-0.003040807,7.138094708,-0.012739935,7.177963889,-0.018869128,6.974866667,-0.007247579,7.224298883,-0.001591887,6.991183333,-0.001999798,7.162461111,-0.007622641,7.039863128,-0.019058706,7.172436111,-0.009455719,14.1,11.9,16.2,12.2,13.4,9.5,5.3,2.3,4.8,3.1
0.78,0.5,1.17,0.623931624,1.9,0.184210526,2.25,-0.062222222,2.11,-0.142180095,1.81,102.0163127,0.277341923,130.309713,0.202229235,156.6621467,-0.077056313,144.5903393,0.229895421,177.8309963,179.0602647,0.006912565,48,25,48,68.6417401,43.78318232,48.91024304,31.98978947,24.01205,48.31527007,37.29209582,21.73466391,35.61177696,38.18145179,-3.875820707,-0.841299144,-4.685424037,-6.565831047,0.476561381,-5.274658688,-5.293812132,-1.004017282,-4.271562435,-0.900067849,62.70543979,20.84025373,11.57207229,22.16296792,11.08911424,21.09472475,-6.006953894,-8.417732112,0.61097613,-6.762382933,-0.512253715,-0.497275055,2.816702296,-0.708749327,-0.162266306,-8.924800842,1.956833592,-0.644384213,3.61115679,-0.908652983,-0.208033726,-11.44205236,2.508761015,-0.826133606,7.009973884,1.320512821,0.755212083,7.166625698,-0.02098639,6.955805556,-0.003815942,7.016452778,-0.022507674,6.962724234,-0.020676076,6.849008333,0.000541499,7.200725,-0.011996682,6.848381616,-0.010470555,7.003563889,-0.013996525,6.911825,-0.023270136,7.184626741,-0.00626576,13.7,13.8,16.8,15.6,16.4,9.7,4.1,0,2.5,0.7
0.66,0.121212121,0.74,1.121621622,1.57,0.197452229,1.88,-0.414893617,1.1,0.145454545,1.26,146.225828,-0.021366225,143.101534,0,143.101534,0.464042256,209.5066926,0.212225341,253.9693219,245.9022013,-0.031764154,48,25,48,83.50780482,45.50184677,75.54931983,66.99194737,52.9155086,71.0120496,62.58596296,63.37385307,63.24202882,49.42908232,-5.581718105,-1.355358462,-7.139152783,-9.389389319,0.273729139,-8.684803246,-4.371548353,-3.668296006,-6.699498874,-2.265171457,114.4686664,58.00168603,30.67565716,47.65909369,53.70665514,39.22943042,-10.81689816,-14.22634745,0.41474112,-13.1587928,-3.108725429,-1.797755125,-31.27109991,-65.48597426,17.96933467,-35.76673065,-55.28963517,-56.87924652,-47.38045442,-99.22117311,27.22626465,-54.19201613,-83.7721745,-86.18067655,6.991869921,0.909090909,0.681660516,7.193650838,-0.013585866,6.971727778,-0.003998331,7.126302778,-0.014996695,7.004916435,-0.017069998,6.712286111,-0.007414596,7.033537604,-0.014815071,6.876544199,-0.032506494,7.054247222,-0.00949754,6.874952909,-0.018401674,7.070533333,-0.009330874,13.6,11,15.5,14.2,13.8,9.6,5.5,1,3.1,2.9
0.64,0.265625,0.81,1.419753086,1.96,-0.051020408,1.86,-0.14516129,1.59,0.113207547,1.77,132.3278493,0.288477521,170.5014593,0,170.5014593,0.178983094,201.018338,0.012508743,203.5328247,252.2649349,0.239431209,48,25,48,146.345993,68.65865485,125.2027009,85.32290749,48.16576869,143.7667894,104.5908506,87.24273523,55.89620022,27.04140663,-7.535430982,-2.970743428,-28.32906309,-31.62845711,1.881755642,-23.4025363,-11.74755507,-18.43282238,-25.74595467,-6.070380594,195.6292201,61.60498736,25.21767994,83.3430663,51.93019954,15.27763086,-44.26416108,-49.41946423,2.94024319,-36.56646298,-10.97191808,-3.429593556,-10.89322967,-75.5726423,119.9485658,-26.97877318,-85.57092425,87.81582049,-17.02067136,-118.0822536,187.419634,-42.1543331,-133.7045691,137.2122195,6.886098583,1.765625,0.906363144,7.140094708,-0.016639014,6.904155556,-0.003748482,6.935482385,0.06581319,6.999315934,0.009833358,6.749036011,0.003531707,7.068885794,-0.008337743,6.778273481,0.015494553,6.920582173,-0.019048134,6.600737569,0.007319026,6.764422222,-0.01695345,13.6,12,15.8,14.6,17.2,9.8,4.8,0,2.9,0.5
0.47,0,0.47,1.978723404,1.4,0.071428571,1.5,0.066666667,1.6,0.13125,1.81,116.7063693,0.127317267,131.5651053,0,131.5651053,0.420982239,186.951678,0.660880332,310.504365,268.0138324,-0.136843592,48,25,48,75.08008763,52.05306094,63.61647668,54.19351036,38.9046676,51.87126702,43.18616944,42.90747222,38.32604384,35.03464917,-3.531906456,-0.044687968,-3.195829104,-3.945476353,0.138482003,-3.386821777,0.007288295,-0.099209065,-0.564301613,-0.11202376,135.3542057,57.96097365,26.83080524,33.46533356,25.16567286,19.35615976,-6.799636392,-8.394630539,0.29464256,-7.206003781,-0.058187135,-0.06189158,2.566091717,1.78410229,0.401447617,2.288659187,-0.115335057,0.210383124,5.459769611,3.795962319,0.854143865,4.869487633,-0.245393738,0.447623668,6.97405277,2.85106383,1.296479909,7.104108939,-0.017383637,6.813319444,-0.002166028,6.940772222,-0.009747864,7.053283333,-0.01487048,6.783754875,-0.004051157,7.074363889,-0.010996635,6.962191667,0.001791337,6.98585,0.000874809,7.007105556,0.000541357,7.015777778,0.000208352,13.2,11.6,15.8,11.2,10.6,9.7,5.3,0.9,4.6,4.4
0.625,0.2,0.75,1.16,1.62,0.407407407,2.28,0.197368421,2.73,0.227106227,3.35,102.79372,0.192565629,122.5882573,0.337959945,164.018178,-0.068189942,152.833788,0.056624591,161.4879387,207.8976587,0.28738815,48,25,48,90.19551378,74.81531172,68.40504796,48.16500485,49.63407418,50.88148578,33.61541209,41.66843678,16.78801102,32.95714186,-2.746885403,-0.369213556,-4.806738163,-5.039519218,0.479965973,-6.713913814,0.618139392,-8.685312586,0.465342302,-8.455126527,109.4480767,40.64557372,25.45337137,20.31197037,13.70672263,9.837952794,-7.690781061,-8.063230749,0.767945557,-10.7422621,-2.857010719,-2.523918366,-38.16393088,-50.4910761,4.311250294,-38.11916149,-51.01311102,-3.20886713,-61.06228941,-80.78572177,6.89800047,-60.99065839,-81.62097763,-5.134187408,6.980016805,4.36,1.022474317,6.398623955,-0.01588391,7.005572222,-0.001126114,7.166444751,-0.013009158,7.169185083,-0.049285264,6.844455556,-0.008914592,7.188304709,-0.031710766,6.941908333,-0.005498098,7.133562327,-0.023890587,6.813,0.015144828,7.139111111,-0.011456259,12.7,10.8,16.7,14.1,15.7,10.7,5.4,0.9,2.1,0
0.71,0.183098592,0.84,1.19047619,1.84,-0.130434783,1.6,0.2625,2.02,0.232673267,2.49,102.3316727,0.301225611,133.1565933,0.122934531,149.5261367,-0.051991365,141.7520687,0.325768019,187.9303593,216.1777753,0.150307892,48,25,48,90.6012141,72.10500826,67.25983127,44.80309113,52.5325663,67.62280685,36.50062222,12.58188056,41.17309556,23.08814167,-3.272866186,-0.829144005,-5.308755994,-6.46497877,0.615082873,-5.650044906,-1.149448824,-0.538535264,-8.887020193,-0.053179288,94.73215671,33.43514263,30.54218971,37.36066677,5.579547918,9.272346051,-7.477121118,-9.105603901,0.866313906,-7.957809727,-0.238818299,-0.021357144,-10.54708037,-4.502007638,-7.536935192,-15.25548992,9.934738449,0.054417279,-14.85504278,-6.340855827,-10.61540168,-21.48660552,13.99258937,0.076644055,6.969974759,2.507042254,1.112520686,6.409214485,-0.014397648,7.003713889,-0.001792185,7.183259777,-0.017925833,6.968258333,-0.017909751,6.817305556,-0.004831604,7.197398329,-0.013284828,7.031488889,-0.003539765,6.940872222,-0.006165802,7.131058333,-0.001719629,7.017177778,-0.001832123,12.1,11.5,17,11.2,9.7,10.8,5.6,0.9,4.4,5.1
0.68,-0.176470588,0.56,-0.392857143,0.34,2.617647059,1.23,-0.12195122,1.08,0.324074074,1.43,93.62618533,0.229594209,115.1222153,0.294323795,149.0054227,-0.061721704,139.808554,0.175680595,164.370204,151.6608481,-0.077321532,48,25,48,99.43430084,99.99419444,99.14671229,96.64261281,98.88337673,98.32516389,99.99236667,99.14860955,99.43492479,99.9935838,0.038723513,-0.000945539,0.015320244,-0.016734186,0.000187584,0.0030574,1.67704E-05,0.022952935,-0.000633156,0.032503187,145.8039887,214.7613618,125.966085,85.13001203,79.00287614,69.92558308,0.02252977,-0.024609096,0.000275859,0.004496176,0.018289191,0.022729502,-0.141007981,0.077854559,0.05859472,0.050731905,-0.264840587,-0.198610215,-0.207364679,0.114491999,0.086168706,0.074605742,-0.389471451,-0.292073845,7.1035412,1.102941176,0.619855039,6.412547222,-0.022704876,7.019794444,-0.001708333,7.321721448,-0.009356211,6.933991713,0.011534869,6.958991667,0.005350853,7.247582173,0.00996442,7.186838889,-0.004748444,7.337302778,0.001208506,7.23885,-0.000332988,7.377791667,-0.00733074,12.7,8.8,15.3,6.7,9.8,10.7,6.8,2.3,7.4,4.9
0.56,0.1875,0.665,0.488721805,0.99,0.464646465,1.45,0.089655172,1.58,0.360759494,2.15,87.95698067,0.396679434,122.847706,0.142063936,140.2999347,-0.058808153,132.0491547,0.309905463,172.9719091,179.3462867,0.036852097,48,25,48,87.42505,71.06017778,69.95216495,49.02265782,55.39884958,65.84840476,47.22766944,40.37498898,43.47376309,53.34620556,-2.548702413,-0.641559776,-3.522717001,-2.346231488,0.743656307,-2.345160054,-0.553249481,-0.33278134,0.486637632,0.049403873,124.9145803,59.24188257,45.4088931,43.46429357,21.64878766,24.81218863,-6.290566073,-4.189699085,1.327957691,-4.18778581,-0.178435035,0.022978545,-4.093024059,0.445799646,-0.006880907,0.914301691,-0.803683065,-0.268297959,-7.308971534,0.796070796,-0.012287335,1.63268159,-1.435148331,-0.479103498,7.086154033,2.839285714,1.039022773,6.388911111,-0.014774147,7.016911111,0.003542358,7.240894737,-0.025243656,7.210883008,-0.029906379,6.843506964,0.002522452,7.213022284,-0.002255921,7.170275,4.1148E-05,7.206894444,0.002331777,7.264063889,0.00208316,7.306177778,0.001249308,12.7,10.7,17.1,8.3,7.6,10.9,5.8,1.1,6.6,5.6
